epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,314.267,0.59285,0.61675,0.81481,2.78643,1.9982e-05,1.9982e-05,0.080038
2,694.08,0.45986,0.67955,0.84219,2.77388,3.99796e-05,3.99796e-05,0.060058
3,1060.86,0.35893,0.69565,0.83575,3.09888,5.99674e-05,5.99674e-05,0.040078
4,1409.66,0.2797,0.69887,0.82448,3.29311,7.99381e-05,7.99381e-05,0.0200979
5,1741.23,0.22279,0.7037,0.82287,3.35022,9.98844e-05,9.98844e-05,0.00011787
6,2085.27,0.18488,0.70692,0.8277,3.45859,9.98474e-05,9.98474e-05,9.98474e-05
7,2433.5,0.1801,0.71014,0.82609,3.62361,9.97803e-05,9.97803e-05,9.97803e-05
8,2791.73,0.15566,0.71176,0.82448,3.67678,9.97011e-05,9.97011e-05,9.97011e-05
9,3145.99,0.14433,0.70853,0.82448,3.83695,9.96097e-05,9.96097e-05,9.96097e-05
10,3488.19,0.13367,0.71337,0.82609,3.9842,9.95062e-05,9.95062e-05,9.95062e-05
11,3788.52,0.12229,0.72786,0.82126,4.00415,9.93906e-05,9.93906e-05,9.93906e-05
12,4085.58,0.12048,0.71659,0.82448,3.96786,9.92629e-05,9.92629e-05,9.92629e-05
13,4380.59,0.11705,0.72142,0.81965,3.99969,9.91232e-05,9.91232e-05,9.91232e-05
14,4665.79,0.11455,0.71981,0.82287,3.92815,9.89715e-05,9.89715e-05,9.89715e-05
15,4956.41,0.10655,0.7182,0.82126,4.06038,9.88079e-05,9.88079e-05,9.88079e-05
16,5240.01,0.10124,0.71337,0.82448,4.1534,9.86323e-05,9.86323e-05,9.86323e-05
17,5528.21,0.097,0.71659,0.82609,4.17671,9.84449e-05,9.84449e-05,9.84449e-05
18,5826.24,0.09674,0.7182,0.82931,4.22529,9.82456e-05,9.82456e-05,9.82456e-05
19,6187.2,0.08707,0.7182,0.82448,4.29732,9.80345e-05,9.80345e-05,9.80345e-05
20,6550.45,0.08501,0.7182,0.83092,4.48746,9.78118e-05,9.78118e-05,9.78118e-05
21,6921.11,0.08274,0.71498,0.83092,4.41659,9.75773e-05,9.75773e-05,9.75773e-05
22,7272.77,0.0849,0.7182,0.82609,4.32632,9.73312e-05,9.73312e-05,9.73312e-05
23,7618.26,0.08147,0.72464,0.82448,4.45904,9.70736e-05,9.70736e-05,9.70736e-05
24,7931.65,0.07115,0.72142,0.82448,4.39341,9.68045e-05,9.68045e-05,9.68045e-05
25,8256.71,0.07683,0.72303,0.82126,4.46935,9.65239e-05,9.65239e-05,9.65239e-05
26,8573.94,0.07188,0.72142,0.82448,4.51871,9.6232e-05,9.6232e-05,9.6232e-05
27,8877.82,0.07194,0.71981,0.82126,4.5045,9.59289e-05,9.59289e-05,9.59289e-05
28,9160.16,0.07008,0.71981,0.81965,4.65698,9.56145e-05,9.56145e-05,9.56145e-05
29,9442.74,0.06421,0.71981,0.82448,4.57051,9.52889e-05,9.52889e-05,9.52889e-05
30,9723.58,0.06227,0.71981,0.82287,4.5434,9.49524e-05,9.49524e-05,9.49524e-05
31,9994.15,0.06288,0.71981,0.82287,4.53925,9.46048e-05,9.46048e-05,9.46048e-05
32,10265.1,0.06166,0.72142,0.82287,4.48529,9.42464e-05,9.42464e-05,9.42464e-05
33,10534.2,0.05947,0.71981,0.82448,4.51064,9.38772e-05,9.38772e-05,9.38772e-05
34,10803.6,0.06059,0.71981,0.82448,4.5781,9.34973e-05,9.34973e-05,9.34973e-05
35,11072.2,0.0617,0.71659,0.82609,4.58379,9.31067e-05,9.31067e-05,9.31067e-05
36,11350.5,0.05904,0.71498,0.82609,4.54906,9.27057e-05,9.27057e-05,9.27057e-05
